instance_id,prompt_tokens,completion_tokens,reasoning_tokens,prompt_cost,completion_cost,total_cost
repo_insights_scikit-learn,3367,3486,1472,0.0037037000000000003,0.0153384,0.0190421
repo_insights_seaborn,1376,3463,1664,0.0015136000000000001,0.015237200000000001,0.0167508
repo_insights_pylint,11786,3997,3275,0.012964600000000001,0.0175868,0.0305514
repo_insights_sphinx,7258,3997,2624,0.007983800000000001,0.0175868,0.0255706
repo_insights_sympy,3543,3997,3713,0.0038973000000000002,0.0175868,0.0214841
repo_insights_requests,1246,3997,2985,0.0013706,0.0175868,0.0189574
repo_insights_astropy,3614,3997,2844,0.0039754000000000005,0.0175868,0.0215622
repo_insights_django,43197,3998,2568,0.0475167,0.0175912,0.0651079
repo_insights_flask,1102,3997,3038,0.0012122,0.0175868,0.018799
repo_insights_pytest,2067,3997,2437,0.0022737,0.0175868,0.0198605
repo_insights_xarray,2697,3503,1536,0.0029667,0.0154132,0.0183799
repo_insights_matplotlib,3688,3997,3416,0.0040568,0.0175868,0.0216436
