instance_id,model,calls,prompt_tokens,completion_tokens,reasoning_tokens,prompt_cost,completion_cost,total_cost
repo_faq_seaborn,o3-mini-2025-01-31,1,1371,4771,2304,0.0015081,0.0209924,0.0225005
repo_faq_seaborn_TOTAL,ALL,1,1371,4771,2304,0.0015081,0.0209924,0.0225005
repo_faq_sympy,o3-mini-2025-01-31,1,3538,7075,3840,0.0038918000000000004,0.03113,0.0350218
repo_faq_sympy_TOTAL,ALL,1,3538,7075,3840,0.0038918000000000004,0.03113,0.0350218
repo_faq_flask,o3-mini-2025-01-31,1,1097,6464,3968,0.0012067,0.0284416,0.029648300000000002
repo_faq_flask_TOTAL,ALL,1,1097,6464,3968,0.0012067,0.0284416,0.029648300000000002
repo_faq_requests,o3-mini-2025-01-31,1,1241,4932,2240,0.0013651000000000002,0.021700800000000003,0.023065900000000004
repo_faq_requests_TOTAL,ALL,1,1241,4932,2240,0.0013651000000000002,0.021700800000000003,0.023065900000000004
repo_faq_sphinx,o3-mini-2025-01-31,1,7253,6195,3072,0.0079783,0.027258,0.0352363
repo_faq_sphinx_TOTAL,ALL,1,7253,6195,3072,0.0079783,0.027258,0.0352363
repo_faq_pytest,o3-mini-2025-01-31,1,2062,6411,3008,0.0022682,0.0282084,0.030476600000000003
repo_faq_pytest_TOTAL,ALL,1,2062,6411,3008,0.0022682,0.0282084,0.030476600000000003
repo_faq_astropy,o3-mini-2025-01-31,1,3609,6742,3456,0.0039699,0.0296648,0.033634700000000003
repo_faq_astropy_TOTAL,ALL,1,3609,6742,3456,0.0039699,0.0296648,0.033634700000000003
repo_faq_django,o3-mini-2025-01-31,1,43192,6220,2688,0.0475112,0.027368,0.0748792
repo_faq_django_TOTAL,ALL,1,43192,6220,2688,0.0475112,0.027368,0.0748792
repo_faq_xarray,o3-mini-2025-01-31,1,2692,6144,3520,0.0029612,0.0270336,0.029994800000000002
repo_faq_xarray_TOTAL,ALL,1,2692,6144,3520,0.0029612,0.0270336,0.029994800000000002
repo_faq_pylint,o3-mini-2025-01-31,1,11781,8428,5184,0.012959100000000001,0.037083200000000004,0.050042300000000005
repo_faq_pylint_TOTAL,ALL,1,11781,8428,5184,0.012959100000000001,0.037083200000000004,0.050042300000000005
repo_faq_scikit-learn,o3-mini-2025-01-31,1,3362,6660,3968,0.0036982,0.029304,0.0330022
repo_faq_scikit-learn_TOTAL,ALL,1,3362,6660,3968,0.0036982,0.029304,0.0330022
repo_faq_matplotlib,o3-mini-2025-01-31,1,3683,5326,2368,0.0040513,0.0234344,0.027485700000000002
repo_faq_matplotlib_TOTAL,ALL,1,3683,5326,2368,0.0040513,0.0234344,0.027485700000000002
