instance_id,model,calls,prompt_tokens,completion_tokens,reasoning_tokens,prompt_cost,completion_cost,total_cost
repo_insights_scikit-learn,o4-mini-2025-04-16,1,3370,6021,3904,0.0037070000000000002,0.026492400000000003,0.0301994
repo_insights_scikit-learn_TOTAL,ALL,1,3370,6021,3904,0.0037070000000000002,0.026492400000000003,0.0301994
repo_insights_seaborn,o4-mini-2025-04-16,1,1376,5056,2944,0.0015136000000000001,0.0222464,0.02376
repo_insights_seaborn_TOTAL,ALL,1,1376,5056,2944,0.0015136000000000001,0.0222464,0.02376
repo_insights_pylint,o4-mini-2025-04-16,1,11786,4050,1984,0.012964600000000001,0.017820000000000003,0.030784600000000002
repo_insights_pylint_TOTAL,ALL,1,11786,4050,1984,0.012964600000000001,0.017820000000000003,0.030784600000000002
repo_insights_sphinx,o4-mini-2025-04-16,1,7258,3914,1728,0.007983800000000001,0.0172216,0.025205400000000003
repo_insights_sphinx_TOTAL,ALL,1,7258,3914,1728,0.007983800000000001,0.0172216,0.025205400000000003
repo_insights_sympy,o4-mini-2025-04-16,1,3543,3893,1344,0.0038973000000000002,0.0171292,0.0210265
repo_insights_sympy_TOTAL,ALL,1,3543,3893,1344,0.0038973000000000002,0.0171292,0.0210265
repo_insights_requests,o4-mini-2025-04-16,1,1246,3864,1920,0.0013706,0.017001600000000002,0.0183722
repo_insights_requests_TOTAL,ALL,1,1246,3864,1920,0.0013706,0.017001600000000002,0.0183722
repo_insights_astropy,o4-mini-2025-04-16,1,3660,2833,832,0.004026,0.012465200000000001,0.0164912
repo_insights_astropy_TOTAL,ALL,1,3660,2833,832,0.004026,0.012465200000000001,0.0164912
repo_insights_django,o4-mini-2025-04-16,1,43217,3126,1280,0.0475387,0.0137544,0.0612931
repo_insights_django_TOTAL,ALL,1,43217,3126,1280,0.0475387,0.0137544,0.0612931
repo_insights_flask,o4-mini-2025-04-16,1,1102,5213,3392,0.0012122,0.0229372,0.0241494
repo_insights_flask_TOTAL,ALL,1,1102,5213,3392,0.0012122,0.0229372,0.0241494
repo_insights_pytest,o4-mini-2025-04-16,1,2067,4162,2304,0.0022737,0.0183128,0.0205865
repo_insights_pytest_TOTAL,ALL,1,2067,4162,2304,0.0022737,0.0183128,0.0205865
repo_insights_xarray,o4-mini-2025-04-16,1,2713,6589,4160,0.0029843,0.028991600000000003,0.0319759
repo_insights_xarray_TOTAL,ALL,1,2713,6589,4160,0.0029843,0.028991600000000003,0.0319759
repo_insights_matplotlib,o4-mini-2025-04-16,1,3704,4203,2240,0.004074400000000001,0.0184932,0.0225676
repo_insights_matplotlib_TOTAL,ALL,1,3704,4203,2240,0.004074400000000001,0.0184932,0.0225676
