Strong Model,Strong Model Base Performance,Strong Model Base Cost,Strong Model Base Efficiency Score,Weak Model,Weak Model Base Performance,Weak Model Base Cost,Weak Model Base Efficiency Score,Method,Performance,Cost,Efficiency Score,Rank
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong LM Single Attempt,0.1233,2.046,0.060263929618768336,1.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Prompt Reduction,0.0567,1.246,0.04550561797752809,2.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong LM First,0.1233,3.579,0.03445096395641241,3.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Weak LM First,0.1133,3.581,0.03163920692543982,4.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Structure,0.0467,1.562,0.029897567221510882,5.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (1 Shot Random),0.05,3.805,0.013140604467805518,6.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Weak Router,0.0533,4.326,0.012320850670365235,7.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Majority Vote,0.0467,3.839,0.012164626204740818,9.5
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Clustering,0.0467,3.839,0.012164626204740818,9.5
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Self-Consistency - Universal,0.0467,3.839,0.012164626204740818,9.5
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Best of N,0.0467,3.839,0.012164626204740818,9.5
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Strong Router,0.07,5.941,0.01178252819390675,12.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Summary,0.0433,3.873,0.011179963852310869,13.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (5 Shot Random),0.0533,4.854,0.010980634528224145,14.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (1 Shot Similarity),0.0433,4.284,0.010107376283846873,15.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Instance Level QA Pairs,0.06,6.402,0.00937207122774133,16.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Repo Level QA Pairs,0.0367,4.105,0.008940316686967114,17.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Plan,0.0467,6.262,0.007457681251996168,18.0
gpt-4o-mini,0.1533,4.529,0.033848531684698605,qwen2.5-coder-7b,0.0467,3.839,0.012164626204740818,Few Shot Examples (5 Shot Similarity),0.04,5.733,0.006977149834292692,19.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Summary,0.1633,5.0,0.03266,1.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Structure,0.1367,4.288,0.031879664179104476,2.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Weak LM First,0.1633,5.687,0.02871461227360647,3.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Repo Level QA Pairs,0.1267,4.686,0.027037985488689714,4.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (1 Shot Random),0.1333,5.323,0.025042269396956602,5.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (1 Shot Similarity),0.1433,6.081,0.02356520309159678,6.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (5 Shot Similarity),0.15,7.32,0.020491803278688523,7.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Few Shot Examples (5 Shot Random),0.1267,7.127,0.01777746597446331,8.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Weak Router,0.2267,16.764,0.013523025530899548,9.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong LM Single Attempt,0.2633,21.28,0.012373120300751878,10.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong LM First,0.3,24.922,0.012037557178396597,11.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Plan,0.2267,24.182,0.009374741543296669,12.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Instance Level QA Pairs,0.18,25.699,0.007004163586131755,13.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Strong Router,0.1867,36.583,0.005103463357297106,14.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Best of N,0.22,44.134,0.004984818960438664,15.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Prompt Reduction,0.2033,42.537,0.004779368549733174,16.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Clustering,0.15,44.134,0.003398740200299089,17.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Universal,0.16,48.524,0.00329733740004946,18.0
o3-mini,0.3367,46.224,0.007284094842506058,gpt-4o-mini,0.1533,4.529,0.033848531684698605,Self-Consistency - Majority Vote,0.14,44.134,0.00317215752027915,19.0
o3-mini,0.3367,46.224,0.007284094842506058,qwen2.5-coder-14b,0.1433,4.257,0.03366220342964529,Repo Structure,0.14,4.393,0.03186888231277032,1.0
