Experiment,Performance,Cost
Base Strong,0.3367,46.224
Base Weak,0.0467,3.839
Self-Consistency - Majority Vote,0.0733,46.090
Self-Consistency - Clustering,0.0700,46.090
Self-Consistency - Universal,0.0733,47.095
Best of N,0.1033,46.090
Strong LM Single Attempt,0.2633,21.280
Strong LM First,0.2633,22.261
Prompt Reduction,0.1867,43.590
Weak LM First,0.1933,16.147
Plan,0.0833,24.092
Instance Level QA Pairs,0.0767,25.203
Weak Router,0.0733,5.432
Strong Router,0.1033,41.081
Few Shot Examples (1 Shot Random),0.0433,4.281
Few Shot Examples (5 Shot Random),0.0433,6.501
Few Shot Examples (1 Shot Similarity),0.0367,4.282
Few Shot Examples (5 Shot Similarity),0.0433,6.665
Repo Structure,0.0500,4.388
Repo Level QA Pairs,0.0433,4.676
Repo Summary,0.0567,9.139
