Method,File Precision,File Recall,File F1,Module Precision,Module Recall,Module F1,Line Precision,Line Recall,Line F1
Base Strong,76.62,76.79,76.68,76.62,76.79,76.68,45.53,37.83,39.31
Base Weak,78.65,78.82,78.7,78.65,78.82,78.7,35.92,28.49,29.97
Self-Consistency - Direct,76.25,76.25,76.25,76.25,76.25,76.25,35.44,28.03,29.36
Self-Consistency - Clustering,75.75,75.92,75.81,75.75,75.92,75.81,35.63,28.31,29.76
Self-Consistency - Universal,76.25,76.25,76.25,76.25,76.25,76.25,35.44,28.03,29.36
Best of N,76.25,76.25,76.25,76.25,76.25,76.25,36.55,29.11,30.34
Strong LM Single Attempt,77.42,77.78,77.54,77.42,77.78,77.54,47.64,39.69,40.8
Prompt Reduction,83.16,83.67,83.33,83.16,83.67,83.33,49.25,39.14,41.03
Weak LM First,77.61,77.78,77.67,77.61,77.78,77.67,36.98,30.57,31.45
Plan,76.83,77.7,77.12,76.83,77.7,77.12,42.43,35.5,36.11
Instance Level QA Pairs,77.3,78.45,77.64,77.3,78.45,77.64,40.76,31.68,33.57
Weak Router,77.82,77.82,77.82,77.82,77.82,77.82,39.14,34.35,34.48
Strong Router,73.04,73.38,73.15,73.04,73.38,73.15,36.1,30.54,31.0
1 Shot Succesfull - Random,77.03,77.39,77.15,77.03,77.39,77.15,34.57,27.75,28.94
5 Shot Succesfull - Random,74.05,74.05,74.05,74.05,74.05,74.05,34.8,26.91,28.44
1 Shot Succesfull - Similarity,75.71,75.89,75.77,75.71,75.89,75.77,33.72,25.96,27.34
5 Shot Succesfull - Similarity,77.78,77.78,77.78,77.78,77.78,77.78,35.61,27.96,29.25
Repo Structure,71.51,71.68,71.57,71.51,71.68,71.57,36.18,27.99,29.41
Repo Level QA Pairs,75.6,75.77,75.65,75.6,75.77,75.65,36.48,29.27,30.43
Repo Summary,77.95,78.12,78.01,77.95,78.12,78.01,36.31,29.31,30.26
